1,-0.33,A,Theme a,X,X
5,-0.33,,,,X
9,-0.33,,,X,X
13,-0.33,,,,X
17,-0.33,Transition,Theme b,X,
21,-0.33,,,X,
29,-0.33,B,Theme a,X,
33,-0.33,,,X,
37,-0.33,,,X,X
41,1,,,,X
43,-0.33,,Theme c,X,
52-67=1-16,,,,,
68,-0.33,Transition,Theme a,X,
79,1,C,Theme d,X,X
83,1,,,,X
87,1,,,,X
91,1,,,,X
95,1,,,X,X
99,1,,,,X
101,1,,Theme c,X,
105,1,,,X,
109,1,,,X,
112,1,,,X,
114-129=52-67,,,,,
130,-0.33,Transition,Theme b,X,
134,-0.33,,,X,
145-168=29-51,,,,,
169,-0.33,Coda,Theme a,X,X
171,-0.33,,,,X
175,-0.33,,,,X
177,-0.33,,,X,X
183,-0.33,,,X,
187,1,,Theme c,X,
189,1,,,X,
191,1,,,X,
193,-0.33,,Piu allegro,Theme a,X
195,-0.33,,,,X
197,-0.33,,,,X
199,-0.33,,,,X
201,-0.33,,,,X
203,-0.33,,,,X
205,-0.33,,,,X
207,-0.33,,,,X
209,-0.33,,,,X