1,1,A,Theme a,X,X
2,1,,,,
3,1,,,,X
4,1,,,,
5,1,,,X,X
6,1,,,,
7,1,,,,X
8,1,,,,
Repeat: 1-8,1,,,,
9,1,B,Theme a,X,X
10,1,,,,
11,1,,,,X
12,1,,,,
13,1,,,X,X
14,1,,,,
15,1,,,,X
16,1,,,,
Repeat: 9-16,,,,,
,,,,,
17-24=1-8,,Variation 1,,X,
25=17,,,,,
Repeat: 18-24,,,,,
25a-32=9-16,,,,,
Repeat: 25a-32,,,,,
,,,,,
33-48=1-16,,Variation 2,,X,
,,,,,
49-56=1-8,,Variation 3,,X,
57-64=1-8,,,,,
65-72=9-16,,,,,
73-80=9-16,,,,,
,,,,,
81-8=1-8,,Variation 4,,X,
89-95=9-15,,,,,
96,1,Link,,,
97,,,,,